text,date,year,type
בשנת שבע מאות וארבעים לחרבן בית המקדש הקדוש שיבנה בימינו,808,740,From the destruction of the Temple
בשנת שבע מאות וארבעים ושש שנה לחרבן בית המקדש הקדוש שיבנה בימינו ובימי כל ישראל אמן,814,746,From the destruction of the Temple
בשנת שבע מאות וחמישים לחרבן בית המקדש הקדוש,818,750,From the destruction of the Temple
בחדש א  שנת שבע מאות וחמישים,819,750,From the destruction of the Temple
בארבעת אלפים וחמש מאות ושמונים ושתים שנה לביריאת עולם שבע מאות וחמשים ושלוש שנה לחרבן בית המקדש הקדוש שיבנה בימינו ובימי כל ישראל אמן,821,4582; 753,;From the creation of the world From the destruction of the Temple
בשנת שבע מאות וחמשים ושלש שנים לחרבן בית המקדש שייבנה בימנו אמן,821,753,From the destruction of the Temple
והשנה שבע מאות וחמישים וארבע לחרבן בית המקדש הקדוש שיבנה בימי כל ישראל,822,754,From the destruction of the Temple
בשנת שבע מאות וחמשים ושש שנה לחרבן בית המקדש,824,756,From the destruction of the Temple
בשנת ארבעת אלפים וחמש מאות ושמונים ושבע שנה לבריאת עולם שבע מאות וחמשים ותשע שנה לחרבן בית המקדש,827,4587; 759,;From the creation of the world From the destruction of the Temple
והשנה שבע מאות וששים ואחת שנה לחרבן הבית שיבנ' בימינו ובימי כל ישראל,829,761,From the destruction of the Temple
בשנת ארבעת אלפים וחמש מאות ושמונים ותשע שנה לבריאת עולם ושנת שבע מאות וששים ואחד לחרבן בית המקדש,829,4589; 761,;From the creation of the world From the destruction of the Temple
בשנת שבע מאות ושישים ושתים שנה לחרבן בית המקדש הקדוש שייבנה בימי כל ישראל אמן,830,762,From the destruction of the Temple
משחרב הבית שבע מאות וששים ושש שנים : שיבנה אותו בימינו ובימי כל ישראל אמן,834,766,From the destruction of the Temple
משח' הבית שבע מאות ושבעים שנה שיבנה בימינו ובימי כל ישראל אמן,838,770,From the destruction of the Temple
בשנת שבע מאות ושבעים לחרבן הבית שיבנה בימנו אמן,838,770,From the destruction of the Temple
בשנת שבע מאות ושבעים ושמונה שנים לחרבן בית המקדש הקדוש שיבנה בימינו אמן,846,778,From the destruction of the Temple
לחרבן הבית שבע מאות ושמונים שנה שיבנה בימינו,848,780,From the destruction of the Temple
בשנת שבע מאות ושמנים ו.. לחרבן בית המקדש,849 - 857,78X,From the destruction of the Temple
בשנת שבע מאות ו...ים ושבע שנה לחרבן בית המקדש הקדוש שיבנה בימי כל ישראל אמן,?,7X7,From the destruction of the Temple
.... לחרבן בית המקדש הקדוש שיבנה במהרה בימינו,?,?,From the destruction of the Temple
בשנת שבע מאות ו... לחרבן בית המקדש,after 769,7..,From the destruction of the Temple
וש... לחרבן בית המקדש הקדוש שיבנה בימינו ובימי כל ישראל בקרוב אמן,?,?,From the destruction of the Temple
ארבעת אלפים ו.... לבריאת עולם וב... שנה לחרבן בית .... כל ישראל אמן,?,?,From the creation of the world; From the destruction of the Temple
בחדש מרחשון שנת        ,"?, in the month of Marcheshvan (=October/November)",?,?
משחרב בית המקדש עד מותה שבע מאות וששים וארבעה שנה,832,764,From the destruction of the Temple
משחרב הבית שבע מאות ושבעים שנה שיבנה בימינו ובימי כל ישראל אמן,838,770,From the destruction of the Temple
והשנה היתה שבע מאות וארבעים ושנים שנה לחרבן בית המקדש הקדוש שיבנה בימי כל ישראל,810,742,From the destruction of the Temple
  ושל                    ותשע       בימינו       ,?,?,From the destruction of the Temple
בשנת שבע מאות וששים ושתים שנה לחרבן הבית שיבנה בימינו ובימי כל ישראל,830,762,From the destruction of the Temple
