text,date,year,type
בשנת שבע מאות וארבעים לחרבן בית המקדש הקדוש שיבנה בימינו,808,740,From the destruction of the Temple
בשנת שבע מאות וארבעים ושש שנה לחרבן בית המקדש הקדוש שיבנה בימינו ובימי כל ישראל אמן,814,746,From the destruction of the Temple
בשנת שבע מאות וחמישים לחרבן בית המקדש הקדוש,818,750,From the destruction of the Temple
בחדש א  שנת שבע מאות וחמישים,819,750,From the destruction of the Temple
בשנת שבע מאות וחמשים ושלש שנים לחרבן בית המקדש שייבנה בימנו אמן,821,753,From the destruction of the Temple
והשנה שבע מאות וחמישים וארבע לחרבן בית המקדש הקדוש שיבנה בימי כל ישראל,822,754,From the destruction of the Temple
בשנת שבע מאות וחמשים ושש שנה לחרבן בית המקדש,824,756,From the destruction of the Temple
והשנה שבע מאות וששים ואחת שנה לחרבן הבית שיבנ' בימינו ובימי כל ישראל,829,761,From the destruction of the Temple
בשנת שבע מאות ושישים ושתים שנה לחרבן בית המקדש הקדוש שייבנה בימי כל ישראל אמן,830,762,From the destruction of the Temple
משחרב הבית שבע מאות וששים ושש שנים : שיבנה אותו בימינו ובימי כל ישראל אמן,834,766,From the destruction of the Temple
משח' הבית שבע מאות ושבעים שנה שיבנה בימינו ובימי כל ישראל אמן,838,770,From the destruction of the Temple
בשנת שבע מאות ושבעים לחרבן הבית שיבנה בימנו אמן,838,770,From the destruction of the Temple
בשנת שבע מאות ושבעים ושמונה שנים לחרבן בית המקדש הקדוש שיבנה בימינו אמן,846,778,From the destruction of the Temple
לחרבן הבית שבע מאות ושמונים שנה שיבנה בימינו,848,780,From the destruction of the Temple
משחרב בית המקדש עד מותה שבע מאות וששים וארבעה שנה,832,764,From the destruction of the Temple
משחרב הבית שבע מאות ושבעים שנה שיבנה בימינו ובימי כל ישראל אמן,838,770,From the destruction of the Temple
והשנה היתה שבע מאות וארבעים ושנים שנה לחרבן בית המקדש הקדוש שיבנה בימי כל ישראל,810,742,From the destruction of the Temple
בשנת שבע מאות וששים ושתים שנה לחרבן הבית שיבנה בימינו ובימי כל ישראל,830,762,From the destruction of the Temple
