type,pattern,value
digits,\d+,{}
one,one,1
one,two,2
one,three,3
one,four,4
one,five,5
one,six,6
one,seven,7
one,eight,8
one,nine,9
ten,ten,10
ten,eleven,11
ten,twelve,12
ten,thirteen,13
ten,fourteen,14
ten,fifteen,15
ten,{one}teen,(10+{one})
tenfold,twenty,20
tenfold,thirty,30
tenfold,forty,40
tenfold,fifty,50
tenfold,sixty,60
tenfold,seventy,70
tenfold,eighty,80
tenfold,ninety,90
tens,{tenfold} {one},({one}+{tenfold})
tens,{tenfold},{tenfold}
tens,{ten},{ten}
hundred,hundred,100
hundred,{one} hundred,{one}*100
hundred,{digits} hundred,{digits}*100
hundred,{tens} hundred,({tens}*100)
hundreds,{hundred} {one},({hundred}+{one})
hundreds,{hundred} and {one},({hundred}+{one})
hundreds,{hundred} {ten},({hundred}+{ten})
hundreds,{hundred} and {ten},({hundred}+{ten})
hundreds,{hundred} {tenfold},({hundred}+{tenfold})
hundreds,{hundred} and {tenfold},({hundred}+{tenfold})
hundreds,{hundred} {tens},({hundred}+{tens})
hundreds,{hundred} and {tens},({hundred}+{tens})
thousand,thousand,1000
thousand,{ten} hundred,{ten}*100
thousand,{1} thousand,{1}*1000
thousands,{thousand} {1},({thousand}+{1})
thousands,{thousand} and {1},({thousand}+{1})
thousands,{ten} {one},({ten}*100+{one})
thousands,{big:tens} {small:tens},({big}*100+{small})
thousands,{ten} {tenfold},({ten}*100+{tenfold})
thousands,{ten} {tens},({ten}*100+{tens})
