type,pattern,value
single,first,1
single,second,2
single,third,3
single,fourth,4
single,fifth,5
single,sixth,6
single,seventh,7
single,eight,8
single,ninth,9
tenth,tenth,10
tenth,twelfth,12
tenth,twentieth,20
tenth,thirtieth,30
tenth,fortieth,40
tenth,fiftieth,50
tenth,sixtieth,60
tenth,seventieth,70
tenth,eightieth,80
tenth,ninetieth,90
suffix,{number}th,{number}
suffix,{number}rd,{number}
suffix,{number}nd,{number}
suffix,{number}st,{number}
composed,{number} {single},({number}+{single})
composed,{number} and {single},({number}+{single})
