type,pattern,value
Destruction temple,לחרבן בית המקדש,קדש
Destruction temple,לחרבן בית המקדש הקדוש,קדש
Destruction temple,לחרבן בית המקדש הקדוש שיבנה בימי כל ישראל,קדש
Destruction temple,לחרבן בית המקדש הקדוש שיבנה בימי כל ישראל אמן,קדש
Destruction temple,לחרבן בית המקדש הקדוש שיבנה בימינו,קדש
Destruction temple,לחרבן בית המקדש הקדוש שיבנה בימינו אמן,קדש
Destruction temple,לחרבן בית המקדש הקדוש שיבנה בימינו ובימי כל ישראל אמן,קדש
Destruction temple,לחרבן בית המקדש הקדוש שיבנה במהרה בימינו,קדש
Destruction temple,לחרבן בית המקדש הקדוש שייבנה בימי כל ישראל אמן,קדש
Destruction temple,לחרבן בית המקדש שייבנה בימנו אמן,קדש
Destruction temple,לחרבן הבית שיבנ' בימינו ובימי כל ישראל,קדש
Destruction temple,לחרבן הבית שיבנה בימינו ובימי כל ישראל,קדש
Destruction temple,לחרבן הבית שיבנה בימנו אמן,קדש
Destruction temple,משחרב בית המקדש עד מותה,קדש
Destruction temple,שיבנה אותו בימינו ובימי כל ישראל אמן,קדש
Destruction temple,שיבנה בימינו,קדש
Destruction temple,שיבנה בימינו ובימי כל ישראל אמן,קדש
