type,pattern,value
1,בשנת {שנה:מספר} {טיפוס},"[טיפוס: '{טיפוס}', שנה: '{שנה}']"
1,בשנת {שנה:מספר} שנה {טיפוס},"[טיפוס: '{טיפוס}', שנה: '{שנה}']"
1,בשנת {שנה:מספר} {טיפוס},"[טיפוס: '{טיפוס}', שנה: '{שנה}']"
1,בשנת {שנה:מספר} שנים {טיפוס},"[טיפוס: '{טיפוס}', שנה: '{שנה}']"
1,והשנה {שנה:מספר} {טיפוס},"[טיפוס: '{טיפוס}', שנה: '{שנה}']"
1,והשנה {שנה:מספר} שנה {טיפוס},"[טיפוס: '{טיפוס}', שנה: '{שנה}']"
1,בשנת {שנה:מספר} שנה {טיפוס},"[טיפוס: '{טיפוס}', שנה: '{שנה}']"
2,בחדש {חודש} שנת {שנה:מספר},"[חודש: 'חודש', שנה: 'שנה']"
2,\w* {טיפוס},[טיפוס: 'טיפוס']
2,וש\w* {טיפוס},[טיפוס: 'טיפוס']
2,{טיפוס} {שנה:מספר} שנה,"[טיפוס: 'טיפוס', שנה: 'שנה']"
2,ושל ותשע {טיפוס},[טיפוס: 'טיפוס']
2,מת {חודש} ה,[חודש: 'חודש']
