type,pattern,value
ספרות,אחד,1
ספרות,אחת,1
ספרות,הראשון,1
ספרות,שתים,2
ספרות,שנים,2
ספרות,שני,2
ספרות,שלש,3
ספרות,שלוש,3
ספרות,שלושת,3
ספרות,שלשת,3
ספרות,ארבעה,4
ספרות,ארבעת,4
ספרות,ארבע,4
ספרות,חמש,5
ספרות,חמיש,5
ספרות,חמשה,5
ספרות,חמשת,5
ספרות,חמישת,5
ספרות,שש,6
ספרות,שיש,6
ספרות,ששת,6
ספרות,שישת,6
ספרות,שבע,7
ספרות,שבעת,7
ספרות,שיבעת,7
ספרות,שמונה,8
ספרות,שמונ,8
ספרות,שמנה,8
ספרות,שמנ,8
ספרות,שמונת,8
ספרות,שמנת,8
ספרות,תשע,9
ספרות,תשעת,9
ספרות,תישעת,9
עשר,עשר,10
עשר,{ספרות} עשרה,({ספרות}+10)
עשר,{ספרות} עשר,({ספרות}+10)
עשר,עשרים,20
עשר,{ספרות}ים,{ספרות}*10
עשר,{ספרות}י,{ספרות}*10
עשר,עשרת,10
מאה,{ספרות} מאות,{ספרות}*100
מאה,מאות {ספרות},{ספרות}*100
אלפים,{ספרות} אלפים,{ספרות}*1000
ו,{1} ו{2},({1}+{2})
ו,{1} ו{2} ו{3},({1}+{2}+{3})
ו,{1} ו{2} ו{3} ו{4},({1}+{2}+{3}+{4})
